(all times in ms),, Lotkavolterra,,,,,,,,,,,, Pendulum,,,,,,,,,,,, Lorenz,,,,,,,,,,,, Lorenz-ExtraOut,,,,,,,,,,,
,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,
CyRK Version, Run-on Date, cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std)
0.2.1a0.dev0, 31/12/2022 15:19:25,7.6345,0.215,#N/A,#N/A,8.0442,0.0879,75.2701,1.0116,#N/A,#N/A,363.1304,3.0165,18.5526,0.4067,#N/A,#N/A,4.6902,0.1262,174.098,1.4268,#N/A,#N/A,181.2945,2.1964,9.1913,0.1643,#N/A,#N/A,9.9573,0.1582,163.3332,1.1517,#N/A,#N/A,6529.7657,359.9193,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.2.3a0.dev0, 31/12/2022 18:39:24,10.1302,1.7416,#N/A,#N/A,9.198,1.2931,81.3014,3.2325,#N/A,#N/A,360.861,3.4365,4.877,0.0577,#N/A,#N/A,4.572,0.0125,48.3967,0.1338,#N/A,#N/A,187.2402,2.2239,9.1004,0.0762,#N/A,#N/A,9.4556,0.0633,161.938,0.9592,#N/A,#N/A,4913.1165,68.3312,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.3.0a1.dev0, 04/01/2023 00:24:34,7.6966,0.1166,#N/A,#N/A,1.097,0.0471,77.2105,1.7284,#N/A,#N/A,13.0751,0.2518,60.7053,96.5366,#N/A,#N/A,0.815,0.0119,50.3944,1.5746,#N/A,#N/A,8.4383,0.2024,62.5844,92.3879,#N/A,#N/A,1.3011,0.0254,162.3904,1.9068,#N/A,#N/A,29.2883,0.3165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.3.0, 05/01/2023 10:00:59,77.4853,121.2205,#N/A,#N/A,1.0396,0.0232,76.2795,1.2953,#N/A,#N/A,14.8855,1.8712,60.0498,95.4352,#N/A,#N/A,0.7488,0.0072,48.452,0.4612,#N/A,#N/A,7.7916,0.2563,61.9276,91.3916,#N/A,#N/A,1.1791,0.0227,161.7735,1.3318,#N/A,#N/A,29.561,1.7351,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.4.0a0.dev7, 19/01/2023 00:15:45,6.9328,0.0419,#N/A,#N/A,1.0807,0.0225,70.2419,1.2946,#N/A,#N/A,12.7816,0.3986,4.5039,0.012,#N/A,#N/A,0.775,0.0066,45.4632,0.1552,#N/A,#N/A,7.4912,0.054,8.2474,0.0137,#N/A,#N/A,1.2234,0.0151,142.2633,0.4843,#N/A,#N/A,28.3285,0.4725,59.7768,86.0594,#N/A,#N/A,1231.1615,2128.4877,172.6841,0.9151,#N/A,#N/A,44.3725,0.7991
0.5.0a3.dev0, 28/03/2023 12:41:14,56.6555,87.5021,#N/A,#N/A,0.8593,0.0037,60.747,0.6072,#N/A,#N/A,9.5173,0.0707,54.8074,87.2917,#N/A,#N/A,0.6171,0.0381,37.755,0.2152,#N/A,#N/A,5.8001,0.0471,59.0615,89.1476,#N/A,#N/A,1.136,0.0656,119.4322,6.3822,#N/A,#N/A,21.4468,0.8531,56.7765,84.3508,#N/A,#N/A,1150.406,1989.3127,140.5121,0.2122,#N/A,#N/A,38.2787,0.2288
0.5.0a4.dev1, 28/03/2023 15:01:57,59.3399,91.9592,#N/A,#N/A,0.8934,0.0096,63.7064,1.3348,#N/A,#N/A,12.8172,0.4395,53.3725,85.1252,#N/A,#N/A,0.6898,0.0364,40.9606,0.8638,#N/A,#N/A,6.0094,0.0111,6.9182,0.0561,#N/A,#N/A,1.0516,0.0078,119.1599,0.1658,#N/A,#N/A,24.0576,0.5495,57.3195,84.8271,#N/A,#N/A,1236.1289,2137.0688,147.8034,2.0147,#N/A,#N/A,40.1323,0.5919
0.5.3, 29/03/2023 18:52:55,60.0504,92.5845,#N/A,#N/A,0.977,0.0467,64.0294,1.744,#N/A,#N/A,11.0573,0.6993,3.9994,0.0556,#N/A,#N/A,0.6373,0.0171,40.7177,1.2901,#N/A,#N/A,6.3661,0.082,55.8262,84.3719,#N/A,#N/A,1.0868,0.018,120.5543,2.1751,#N/A,#N/A,24.5811,0.6446,58.4356,86.3555,#N/A,#N/A,1228.348,2124.0493,147.4642,0.8251,#N/A,#N/A,41.4584,0.5506
0.6.0.dev3, 27/07/2023 16:32:01, 57.1791, 87.5186, 0.3494, 0.0037, 0.8585, 0.0057, 63.9107, 0.2997, 3.0236, 0.0515, 9.3455, 0.1826, 4.1405, 0.0975, 0.2908, 0.0022, 0.6355, 0.0140, 40.3881, 0.2355, 2.4721, 0.0113, 6.8997, 0.2983, 7.1722, 0.1723, 0.4408, 0.0036, 0.9994, 0.0144, 120.0959, 0.8422, 6.7832, 0.0889, 20.7693, 0.1457, 59.6151, 87.9523, 0.5158, 0.0192, 1295.4767, 2240.3460, 148.6622, 1.4348, 8.6331, 0.0093, 36.2625, 0.2111
0.6.0a4, 27/07/2023 18:59:35, 58.6676, 93.5182, 0.3900, 0.0126, 0.9633, 0.0266, 45.5975, 1.1797, 3.1403, 0.0138, 10.5973, 0.2912, 55.7416, 91.5188, 0.3192, 0.0082, 0.6436, 0.0150, 28.7644, 0.9448, 2.6510, 0.0471, 6.7978, 0.2528, 56.1384, 88.3532, 0.4677, 0.0044, 1.0281, 0.0150, 85.8300, 3.9745, 7.5308, 0.1815, 23.5595, 0.4995, 58.8041, 91.3233, 0.5090, 0.0065, 1386.0843, 2397.3464, 106.3878, 1.1220, 8.5241, 0.3540, 38.2326, 0.7181
0.7.0.dev7, 27/08/2023 01:11:14, 4.8113, 0.1391, 0.3115, 0.0004, 0.8552, 0.0036, 45.1068, 0.6880, 2.6107, 0.0100, 9.8739, 0.6100, 2.8775, 0.0067, 0.2522, 0.0009, 0.6097, 0.0030, 28.9372, 0.8937, 2.0232, 0.0052, 6.1300, 0.1653, 4.9043, 0.0304, 0.3955, 0.0062, 0.9908, 0.0052, 82.1498, 1.0284, 5.9321, 0.0159, 20.9002, 0.4163, 5.8702, 0.1321, 0.4181, 0.0009, 1183.0684, 2046.0616, 100.8534, 0.6015, 8.7392, 0.1784, 35.7355, 0.3580
0.7.0a1, 27/08/2023 01:21:31, 4.5590, 0.0620, 0.3149, 0.0066, 0.8748, 0.0195, 43.6144, 0.1123, 2.6232, 0.0313, 9.2402, 0.1733, 2.8469, 0.0036, 0.2520, 0.0032, 0.6048, 0.0044, 27.8211, 0.1951, 2.0357, 0.0363, 6.3501, 0.0787, 4.8713, 0.0372, 0.3889, 0.0021, 1.0088, 0.0276, 81.8194, 0.1423, 5.8619, 0.0337, 20.3528, 0.1749, 5.7740, 0.0594, 0.4174, 0.0006, 1139.2328, 1970.1475, 100.0822, 0.6212, 7.8009, 0.0816, 36.2940, 1.2287
